127.0.0.1 - - [23/Jun/2023:09:15:06 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:41 +0900] "GET /board HTTP/1.1" 200 15490
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:41 +0900] "GET /resources/css/naviStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:41 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:41 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:41 +0900] "GET /resources/image/main%20logo.png HTTP/1.1" 200 15663
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:55 +0900] "GET /index HTTP/1.1" 200 8109
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:57 +0900] "GET /%EB%A1%9C%EA%B7%B8%EC%9D%B8%ED%8E%98%EC%9D%B4%EC%A7%80.html HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:15:57 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:25 +0900] "GET /index HTTP/1.1" 200 8043
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:25 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:25 +0900] "GET /resources/image/main%20logo.png HTTP/1.1" 200 15663
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:25 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 200 95440
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:25 +0900] "GET /resources/favicon.ico HTTP/1.1" 200 4286
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:32 +0900] "GET /index HTTP/1.1" 200 8043
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:32 +0900] "GET /resources/css/commonStyles.css HTTP/1.1" 200 2288
0:0:0:0:0:0:0:1 - - [23/Jun/2023:09:18:32 +0900] "GET /resources/image/main%20logo.png HTTP/1.1" 200 15663
