0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:37:26 +0900] "GET /index HTTP/1.1" 200 8115
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:37:26 +0900] "GET /resources/image/main_logo(black).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:37:26 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:37:31 +0900] "GET /board HTTP/1.1" 200 15512
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:37:40 +0900] "GET /dailyMovie HTTP/1.1" 200 301147
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:57:01 +0900] "GET /logout HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jun/2023:14:57:40 +0900] "GET /logout HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:09:00 +0900] "GET /logout HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:12:05 +0900] "GET /board HTTP/1.1" 200 15512
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:12:05 +0900] "GET /resources/image/main_logo(black%20stic).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:12:05 +0900] "GET /resources/image/main_logo(black).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:13:38 +0900] "GET /SearchMovie HTTP/1.1" 200 858354
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:13:48 +0900] "GET /HowMuchDailyMovie HTTP/1.1" 200 1480505
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:13:51 +0900] "GET /dailyMovie HTTP/1.1" 200 301147
0:0:0:0:0:0:0:1 - - [22/Jun/2023:16:13:53 +0900] "GET /board HTTP/1.1" 200 15512
